<<<<<<< HEAD
no,keputusan,IPS2,bhs-inggris,metstat,metstat-p,matlan,pancasila,kwn,alpro,alpro-p,tekjau
1,TIDAK,3.24,A,AB,AB,D,AB,A,A,AB,B
2,TIDAK,3.13,A,AB,BC,D,A,A,AB,B,B
3,YA,3.58,A,A,BC,BC,AB,A,A,A,B
4,YA,3.58,A,A,A,C,AB,A,A,A,AB
5,YA,3.39,AB,A,AB,D,AB,A,A,A,AB
6,TIDAK,3.32,A,A,BC,D,A,A,AB,A,AB
7,YA,3.44,A,A,B,C,A,A,AB,A,B
8,YA,3.58,A,A,A,C,A,A,A,A,B
9,TIDAK,3.34,A,A,B,D,A,A,A,AB,B
10,YA,3.5,A,A,A,D,A,A,A,A,A
11,YA,3.67,A,A,AB,BC,AB,A,AB,A,AB
12,TIDAK,3,A,BC,BC,D,AB,A,AB,A,AB
13,YA,3.63,A,A,A,B,A,A,AB,AB,B
14,YA,3.42,A,A,AB,D,A,A,A,A,AB
15,YA,3.42,A,A,A,D,A,A,A,A,B
16,YA,3.47,A,A,A,D,A,A,A,A,AB
17,TIDAK,3.25,A,AB,A,D,A,A,AB,A,B
18,YA,3.61,A,A,A,C,A,A,A,A,AB
19,YA,3.79,A,A,A,B,A,A,A,A,AB
20,TIDAK,3.53,A,A,A,D,A,A,A,A,A
21,YA,3.92,A,A,A,AB,A,A,A,A,A
22,TIDAK,3.5,A,A,A,D,A,A,A,A,A
23,TIDAK,3.63,A,A,AB,C,A,A,A,AB,A
24,YA,3.61,A,A,A,C,A,A,AB,A,A
25,YA,3.47,A,A,A,D,A,A,A,A,AB
26,YA,3.39,A,A,BC,D,A,A,A,A,AB
27,YA,3.53,A,A,A,D,A,A,A,A,A
28,YA,3.68,A,A,A,BC,A,A,A,AB,AB
29,YA,3.84,A,A,A,B,A,A,A,A,A
30,YA,3.61,A,A,A,BC,A,A,A,AB,B
31,YA,3.44,A,A,A,D,A,A,A,A,AB
32,TIDAK,2.94,A,B,BC,D,A,A,BC,BC,AB
33,TIDAK,2.36,A,D,E,E,A,A,AB,BC,B
34,YA,3.92,A,A,AB,A,A,A,A,A,AB
35,TIDAK,3.42,A,A,AB,D,A,A,AB,A,A
36,TIDAK,3.68,A,A,A,C,A,A,A,A,A
37,YA,3.79,A,A,A,B,A,A,A,A,AB
38,TIDAK,3.68,A,A,A,C,A,A,A,A,A
39,TIDAK,3.29,AB,AB,A,D,A,A,A,A,B
40,YA,3.78,A,A,A,B,A,A,A,A,AB
41,TIDAK,3.5,A,A,A,D,A,A,A,AB,A
42,YA,3.69,A,A,A,BC,A,A,A,A,AB
43,TIDAK,3.34,A,AB,C,D,A,A,A,A,A
44,TIDAK,3.11,A,B,B,D,A,A,B,A,AB
45,TIDAK,3.55,A,A,AB,C,A,A,A,A,AB
46,TIDAK,3.17,A,AB,C,D,A,A,A,AB,B
47,TIDAK,3.47,A,AB,AB,D,A,A,A,AB,A
48,TIDAK,3.67,A,A,AB,BC,A,A,A,A,AB
49,TIDAK,3.55,A,A,BC,C,A,A,A,A,AB
50,YA,3.37,A,A,AB,C,A,A,A,AB,B
51,TIDAK,3.58,A,A,B,C,A,A,A,A,AB
52,TIDAK,3.47,A,AB,A,C,A,A,A,A,B
53,TIDAK,3.53,A,A,A,D,A,A,A,A,A
54,YA,3.56,A,A,A,C,A,A,A,A,B
55,TIDAK,3.68,A,A,A,C,A,A,A,A,A
56,YA,3.68,A,A,A,C,A,A,A,A,A
57,YA,3.58,A,A,A,C,A,AB,A,A,AB
58,TIDAK,3.47,A,A,B,D,A,A,A,A,A
=======
no,keputusan,IPS2,SKS-kumulatif,bhs-inggris,metstat,metstat-p,matlan,pancasila,kwn,alpro,alpro-p,tekjau
1,TIDAK,3.24,37,A,AB,AB,D,AB,A,A,AB,B
2,TIDAK,3.13,37,A,AB,BC,D,A,A,AB,B,B
3,YA,3.58,37,A,A,BC,BC,AB,A,A,A,B
4,YA,3.58,37,A,A,A,C,AB,A,A,A,AB
5,YA,3.39,37,AB,A,AB,D,AB,A,A,A,AB
6,TIDAK,3.32,37,A,A,BC,D,A,A,AB,A,AB
7,YA,3.44,36,A,A,B,C,A,A,AB,A,B
8,YA,3.58,37,A,A,A,C,A,A,A,A,B
9,TIDAK,3.34,37,A,A,B,D,A,A,A,AB,B
10,YA,3.5,36,A,A,A,D,A,A,A,A,A
11,YA,3.67,36,A,A,AB,BC,AB,A,AB,A,AB
12,TIDAK,3,36,A,BC,BC,D,AB,A,AB,A,AB
13,YA,3.63,37,A,A,A,B,A,A,AB,AB,B
14,YA,3.42,36,A,A,AB,D,A,A,A,A,AB
15,YA,3.42,37,A,A,A,D,A,A,A,A,B
16,YA,3.47,37,A,A,A,D,A,A,A,A,AB
17,TIDAK,3.25,36,A,AB,A,D,A,A,AB,A,B
18,YA,3.61,36,A,A,A,C,A,A,A,A,AB
19,YA,3.79,37,A,A,A,B,A,A,A,A,AB
20,TIDAK,3.53,37,A,A,A,D,A,A,A,A,A
21,YA,3.92,36,A,A,A,AB,A,A,A,A,A
22,TIDAK,3.5,36,A,A,A,D,A,A,A,A,A
23,TIDAK,3.63,37,A,A,AB,C,A,A,A,AB,A
24,YA,3.61,37,A,A,A,C,A,A,AB,A,A
25,YA,3.47,37,A,A,A,D,A,A,A,A,AB
26,YA,3.39,37,A,A,BC,D,A,A,A,A,AB
27,YA,3.53,37,A,A,A,D,A,A,A,A,A
28,YA,3.68,37,A,A,A,BC,A,A,A,AB,AB
29,YA,3.84,37,A,A,A,B,A,A,A,A,A
30,YA,3.61,37,A,A,A,BC,A,A,A,AB,B
31,YA,3.44,37,A,A,A,D,A,A,A,A,AB
32,TIDAK,2.94,37,A,B,BC,D,A,A,BC,BC,AB
33,TIDAK,2.36,37,A,D,E,E,A,A,AB,BC,B
34,YA,3.92,37,A,A,AB,A,A,A,A,A,AB
35,TIDAK,3.42,37,A,A,AB,D,A,A,AB,A,A
36,TIDAK,3.68,37,A,A,A,C,A,A,A,A,A
37,YA,3.79,37,A,A,A,B,A,A,A,A,AB
38,TIDAK,3.68,37,A,A,A,C,A,A,A,A,A
39,TIDAK,3.29,37,AB,AB,A,D,A,A,A,A,B
40,YA,3.78,37,A,A,A,B,A,A,A,A,AB
41,TIDAK,3.5,37,A,A,A,D,A,A,A,AB,A
42,YA,3.69,37,A,A,A,BC,A,A,A,A,AB
43,TIDAK,3.34,37,A,AB,C,D,A,A,A,A,A
44,TIDAK,3.11,37,A,B,B,D,A,A,B,A,AB
45,TIDAK,3.55,37,A,A,AB,C,A,A,A,A,AB
46,TIDAK,3.17,37,A,AB,C,D,A,A,A,AB,B
47,TIDAK,3.47,36,A,AB,AB,D,A,A,A,AB,A
48,TIDAK,3.67,36,A,A,AB,BC,A,A,A,A,AB
49,TIDAK,3.55,37,A,A,BC,C,A,A,A,A,AB
50,YA,3.37,37,A,A,AB,C,A,A,A,AB,B
51,TIDAK,3.58,37,A,A,B,C,A,A,A,A,AB
52,TIDAK,3.47,36,A,AB,A,C,A,A,A,A,B
53,TIDAK,3.53,37,A,A,A,D,A,A,A,A,A
54,YA,3.56,36,A,A,A,C,A,A,A,A,B
55,TIDAK,3.68,37,A,A,A,C,A,A,A,A,A
56,YA,3.68,37,A,A,A,C,A,A,A,A,A
57,YA,3.58,37,A,A,A,C,A,AB,A,A,AB
58,TIDAK,3.47,37,A,A,B,D,A,A,A,A,A
